,title,lyrics,text_author,composer,artist,nr
0,Kiedy w piątek,piątka słońce świecić serce góry wzlatać sobota wziąć plecak podróż świat świat słońce góry pole wiatr pole wiatr obchodzić bom turysta urodzić miesić ciasny wśród pojazd kurz spaliny zielony woleć ścieżka pełny wszędziejski słodki malina leżeć lis myślić wielki dywan przypadek tysiąc świat stań chcieć żeby świat przetrwał tysiąc żeby móc dziecko świat cieszyć,,,Strąkowski,337
1,Ja mam tylko jeden świat,piątka świecić słońce serce góry wzlatać sobota wziąć plecak podróż świat świat słońce góry pole wiatr obchodzić bom turysta urodzić miesić ciasny wśród pojazd kurz spaliny zielony jać ciszyć ścieżka pełny słodki malina świat słońce góry pole wiatr obchodzić bom turysta urodzić myślić leżeć pośród kwiat jęczmień żółty łań przypadek póła wieko świat stań świat słońce góry pole wiatr obchodzić bom turysta urodzić chcieć żeby świat przetrwał tysiąc żeby móc dziecko świat cieszyć świat słońce góry pole wiatr obchodzić bom turysta urodzić,J. Strąkowski,J. Strąkowski,,135
2,Mój świat (Kiedy w piątek słońce świeci),piątka słońce świecić serce góry wzlatać sobota wziąć plecak podróż świat świat słońce góry pole wiatr obchodzić bom turysta urodzić miesić ciasny wśród pojazd kurz spaliny zielony jać ciszyć stok pełny słodki malina myślić leżeć pośród kwiat jęczmień złoty łań przypadek póła wieko świat stań chcieć żeby świat przetrwał tysiąc żeby móc dziecko świat cieszyć,,,Janusz Strąkowski,1122
3,Pod śliwką,iść diabeł ścieżka krzywy pełny myślić zły pożyczyć piwo pożyczyć nikt słońce prażyć rany wiatr gorący dmuchać diabeł noga słaniać piekelny upał iść anioł wśród zielony wieść pełny drobny kieszeń przyjaciel wszędziejski nagle przystanel oba góra śliwka ujrzeć browar wyniść przeciwka szczęście świat ni sprawiedliwość anioł pić piwo trzeć diabeł zazdrość rzec diabeł postawić kufel bóg wynagrodzić artysta upał musieć żyć zgoda anioł zatrzepotać skrzydło pióropusz powiadać dama dycha zamiać dusza musieć diabeł aniołowy wściekły dusza sprzedać stworzyć piekło odrobina niebo,,,,245
4,Anioł i diabeł,iść diabeł ścieżka kręty pełny myślić zły pożyczyć piwo pożyczyć nikt słońce smażyć rany wiatr gorący dmuchać diabeł pragnienie słaniać piekielny upał iść anioł wśród zielony wieść pełny grosz kieszeń przyjaciel wszędziejski nagle przystanąć oba droga śliwa zobaczyć wyniść browar naprzeciwka szczęście świat ni sprawiedliwość anioł pić piwo trzeć diabeł zazdrość postawić kufel mówić diabeł bóg wynagrodzić artysta upał żyć musieć zgoda anioł zatrzepotać skrzydło pióropusz powiadać dama dycha zamiana dusza musieć diabeł aniołowy wściekły dusza sprzedać stworzyć piekło odrobina niebo,Anna Borowa,Andrzej Zieliński,Łucja Prus,302
5,Anioł i diabeł (Pod śliwką),iść diabeł ścieżka krzywy pełny myślić zły pożyczyć piwo pożyczyć nikt słońce smażyć rany wiatr gorący dmuchać diabeł pragnienie słaniać piekielny upał iść anioł wśród zielony wieść pełny drobny kieszeń przyjaciel wszędziejski nagle przystanel oba droga śliwka zobaczyć browar wyniść przeciwka szczęście świat ni sprawiedliwość anioł pić piwo trzeć diabeł zazdrość mówić diabeł postawić kufel bóg wynagrodzić artysta upał żyć musieć zgoda anioł zatrzepotać skrzydło pióropusz powiadać dama dycha zamiana dusza musieć diabeł dusza wściekły aniołowy sprzedać stworzyć piekło odrobina niebo,Anna Borowa,Andrzej Zieliński,Łucja Prus,830
6,Dożywocie gór,drogi mistrz mistrz mej drogi mistrz jerzy mistrz wojciech góry schodzić noga mogąc złapać oddech góry stać dogonić znikać punkt mapa miejsce nazwać dom dotrzeć szlak góry mały żeby przetrwać zima zima wyrok wędrówka koniec ślad zostawić góry góry ciągło skazany góry dożywocie świat dobry zbieszczadzieć szczyt wolny mijać krok pański święty święty bezpański święty jerzy mikołaj mować opuścić góry święty mieszkaniec imię pieśń wychwalać góry stać dogonić znikać punkt mapa ani chata któyy nazwać dom szlaka trafić góry mały żeby przetrwać zima zima wyrok wędrówka koniec ślad zostawić góry góry ciągło skazany góry dożywocie świat dobry zbieszczadzieć szczyt wolny mijać krok góry mały abymorze przetrwał zima zima skazany wieczny wędrówka ślad zostawić góry góry góry dożywocie karko wyrok świat dobry zbieszczadzieć szczyt wolny zbliżać krok,Tomasz Borkowski,B. Adamczak,Na Bani,768
7,Gór mi mało,drogi mistrz mistrz drogi mistrz jerzy mistrz wojciech góry schodzić noga mogąc złapać oddech góry stać dogonić znikać punkt mapa miejsce nazwać dom dotrzeć szlak góry mały żeby przetrwać zima zima skazać wieczny wędrówka ślad zostawić góry góry ciągło skazany góry dożywocie świat dobry zbieszczadzieć szczyt wolny mijać krok pański święty święty bezpański święty jerzy mikołaj mować starodawny góry święty mieszkaniec imię pieśń wychwalać góry stać dogonić znikać punkt mapa chata nazwać dom szlaka trafić góry mały żeby przetrwać zima zima skazać wieczny wędrówka ślad zostawić góry góry ciągło skazany góry dożywocie świat dobry zbieszczadzieć szczyt wolny mijać krok,Tom Borkowski,Wojciech Szymański,Dom o zielonych progach,395
8,Gór mi mało,drogi mistrz mistrz drogi mistrz jerzy mistrz wojciech góry schodzić noga mogąc złapać oddech góry stać dogonić znikać punkt mapa miejsce nazwać dom dotrzeć szlak góry mały żeby przetrwać zima zima skazać wieczny wędrówka ślad zostawić góry góry ciągło skazany góry dożywocie świat dobry zbieszczadzieć szczyt wolny mijać krok pański święty święty bezpański święty jerzy mikołaj mować starodawny góry święty mieszkaniec imię pieśń wychwalać góry stać dogonić znikać punkt mapa ani chata nazwać dom szlaka trafić góry mały,Tomasz Borkowski,Wojciech Szymański,Dom o Zielonych Progach,847
9,Między nami tyle śniegu,ślad zasypać śnieg całies zgubić szukać trudny wszędziejski biały czekać siła ponieść sań stały środek zima lato żyto wniść tył śnieg tył lód trafić siebie okno szyba chłód wiosna odmienić lato da zapomnieć czekać jesień przypomnieć list krzyżówka hasło pięć bilet tramwajowy pewnie zasnąć wciąż myśl bić gdybeyć stanąć próg śnieg pewnie bymorze otrzepać dziękować wiedzieć ko tył śnieg tył lód trafić siebie okno szyba chłód wiosna odmienić lato da zapomnieć czekać jesień przypomnieć,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo,13
10,Między nami tyle śniegu,ślad zasypać śnieg całies zgubić szukać trudny wszędziejski biały czekać siła ponieść sań stały środek zima lato żyto wniść tył śnieg tył lód trafić siebie okno szyba chłód wiosna odmienić lato da zapomnieć czekać jesień przypomnieć list krzyżówka hasło pięć bilet tramwajowy pewnie zasnąć wciąż myśl bić gdybeyć stanąć próg śnieg pewnie bymorze otrzepać dziękować wiedzieć ko,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo,1060
11,Zawirował świat,chmura skłębić nieść mróz śnieg wiatr gwizdać nieszczelny futryna kolejny raz pociąg spóźniać znak zaczynać zimać zawirować świat płatka śnieg dwór stary wspomnienie odżyły niewiele pomóc królowy śnieg srebrny welon przykryć świat wystawić nos dom próg wyczyn lada śmieć zawirować świat płatka śnieg dwór stary wspomnienie odżyły niewiele pomóc szary poranek krótki dzień siebie tysiąc list stawić piec żar dwieście pięćdziesiąt zawirować świat płatka śnieg dwór stary wspomnienie odżyły niewiele pomóc,Krzysztof Myszkowski,Krzysztof Myszkowski,,268
12,Zawirował świat,chmura skłębić nieść mróz śnieg wiatr gwizdać nieszczelny futryna kolejny raz pociąg spóźniać znak zaczynać zimać zawirować świat płatka śnieg dwór stary wspomnienie odżyły niewiele pomóc królowy śnieg srebrny welon przykryć świat wystawić nos dom próg wyczyn lada śmieć zawirować świat szary poranek krótki dzień siebie tysiąc list strawić piec żar dwieście pięćdziesiąt zawirować świat,Krzystztof Myszkowski,Krzystztof Myszkowski,Stare Dobre Małżeństwo,1121
13,Głupi Gienek,gienek grać gitara szewc g wyniść okno jesień przybijać podkówka chybać przyszłość gitara gienii cienki prosty mały struna gienek wierzyć wieć struna pękać zwłaszczać cienki gienek szewc wbić głowa gwóźdź woli gitara żona gitara brać ślubić gitara gienii cienki prosty mały struna gienek wierzyć wieć struna pękać zwłaszczać cienki,,,Stare Dobre Małżeństwo,327
14,Głupi Gienek,gienek grać gitara szewc wyniść okno jesień przybijać podkówka chybać przyszłość gitara gienii cienki prosty mały struna gienek wierzyć wieć struna pękać zwłaszczać cienki gienek szewc wbić głowa gwóźdź woli gitara żona gitara brać ślubić,A. Ziemianin,K. Myszkowski,Stare Dobre Małżeństwo,1077
15,Jeszcze nie czas,wieczór granatowy płaszcz gwiazda pozapalać kąt wyłazić zrudziały smutki gram gitara cichy nutka zbierać grać raz takt niebieski myślić odganiać czas czas marzyć walizka kłaść czas piosenka śpiewać wiatr czas gitara spała dzień szafa póky tył muzyka zabraknąć przyjaciel wieczór przegadać rany gitara struna melodia parzeę piasek chcieć wsypać oko sn zaprosić odejść dłużeć płakać smutek serce nosić czas marzyć walizka kłaść czas piosenka śpiewać wiatr czas gitara spała dzień szafa póky tył muzyka włożyć dębowy skrzynka niech włożyć raz gitara niech niebo grać struna srebrzysty melodia ukochany czas marzyć walizka kłaść czas piosenka śpiewać wiatr czas gitara spała dzień szafa póky tył muzyka,Andrzej Koczewski,Andrzej Koczewski,,261
16,Jeszcze nie czas,wieczór granatowy płaszcz gwiazda pozapalać kąt wyłazić zrudziały smutki gram gitara cichy nutka zbierać grać raz takt niebieski myślić odganiać czas czas marzyć walizka kłaść czas piosenka śpiewać wiatr czas gitara spała dzień szafa doeć tył muzyka zabraknąć przyjaciel wieczór przegadać rany gitara struna melodia parzeę piasek chcieć wsypać oko sn zaprosić odejść dłużeć płakać smutek serce nosić czas włożyć dębowy skrzynka niech włożyć raz gitara niech niebo grać struna srebrzysty melodia ukochany czas,"Zbigniew Bogdański, Andrzej Koczewski",Zbigniew Bogdański,Andrzej Koczewski,1374
17,Miasto,ciemny noc schód uliczka gorący most kamień pełny piwo łeb nieść chmura gitara pustka kieszeń żegnać miasto stały wieża drogi kroki żegnać miasto most wieczór spadać gwiazda moneta muzyka nazbierać miesić sprawa ważny wart ot podeszwa dziura wylot bit dzwony brama otworzyć gwiazda rzeka zaczynać kończyć opowieść chcieć wieczór siedzieć mość karola,Krzysztof Jurkiewicz,Krzysztof Jurkiewicz,Słodki Całus od Buby,32
18,Miasto,ciemny noc schód uliczka gorący most kamień pełny piwo łeb nieść chmura gitara pustka kieszeń żegnać miasto stały wieża drogi kroki żegnać miasto most wieczór spadać gwiazda moneta muzyka nazbierać miesić sprawa ważny wart ot podeszwa dziura wylot bit dzwony brama otworzyć gwiazda rzeka zaczynać kończyć opowieść chcieć wieczór siedzieć mość karola,Krzysztof Jurkiewicz,Krzysztof Jurkiewicz,Słodki Całus od Buby,1267
19,Zielone szkiełko,stać słońce łapię palka czas nitka babi rok patrzyć świat szkło krata dno butelka włos rozwiać głaskać twarz świat koniec zielony człowiek słońce człowiek leżeć ziemia wdychać zapach trawić obłoki skłębić zielony szkiełko prawda znać wieć iść schylić palka ziębnąć przyjść świta wiedzieć rosa wstyd człowiek ziemia człowiek widmo lecieć przepaść widzieć czarny dno słyszeć krewić stęchnąć żyła spływać twarz powietrze prąd cela znaleźć wybrać znaleźć droga któyy chcieć przejść drugi sn strona zielony szkiełko przecinać dłoń spadać ziemia spadać ziemia promień,Robert Kasprzycki,Robert Kasprzycki,Robert Kasprzycki,312
