,title,lyrics,text_author,composer,artist
0,Sześć błota stóp,sześć błoto stopa sześć błoto stopa uderzyć bęben nadejść czas wrzucić woda wieczny wachcieć trza sześć błoto stopa sześć błoto stopa dziewięć sążeń woda sześć błoto stopa ściągnąć flaga dół uszyć worek kula noga ostatni ścieg krew sześć błoto stopa sześć błoto stopa dziewięć sążeń woda sześć błoto stopa wachta ujrzeć chybać kończyć ziemski podróż hiue dotrzeć weć sześć błoto stopa sześć błoto stopa dziewięć sążeń woda sześć błoto stopa ląd setki milić pozostały ląd chwila sześć błoto stopa sześć błoto stopa dziewięć sążeń woda sześć błoto stopa sześć błoto stopa sześć błoto stopa sześć błoto stopa,Henryk Czekała,Cyril Tawney,Mechanicy Shanty
1,Balonik,płakać dziewczynka balon uciec ludzie mówić płakać balonik henowy płakać dziewczyna chłopiec ludzie mówić płakać balonik henowy płakać kobieta mąż porzucić ludzie mówić płakać balonik henowy płakać staruszka żyto wróć balonik wrócić błękitny,Bułat Okudżawa,Bułat Okudżawa,Bułat Okudżawa
2,Nie patrz na to miła,świat zmienić ogłosić wczorać słynny uczyć przypadek słynny ludziezie myślić całies dobry gość otrzymać zaraza nobel mielić racja całies nieciekawć rów leżeć pierwszy miłość zabawa bawić bawić krzyż szyja dłoń seta niebo zjawić kometa zamknąć oko patrzyć miły powieka znaczyć lepsze widoki siła siła umieć marzyć bawić bawić bieda coraz ważny karabin niić serce zabawa żyć tępy rządzić głowa kretyn kij bejsbolowy patrzyć miły człowiek szanować niech schylać niski głowa chwila moment góry dziękować otworzyć oko całować reszta zamknąć oko miły powieka znaczyć lepsze widoki siła siła umieć marzyć reszta zamknąć oko miły powieka znaczyć lepsze obraza siła siła umieć marzyć,Andrzej Sikorowski,Andrzej Sikorowski,Pod Budą
3,Madonna,polski ruski madonna polski starocerkiewny goreć złoty żywy drewny srebro bizantyjski słowiański śnieżnobiały sukienko bielić płótno trumienny deska polski ruski madonna polski starocerkiewny goreć złoty żywy drewny srebro bojarski carski zasmucić kamienny twarz bojarski carski zasmucić chłopski ikona polski ruski madonna polski starocerkiewny goreć złoty żywy drewny srebro,,,
4,Nie rozdziobią nas kruki,rozdziobać kruk ni wrony ani rozszarpać sztuka poezje wściekły kwadratoł ruszać brua iść piwo niechybnąć brakować stać miejsce niejeden zginąć niejeden zginąć kwiat omamić forsa ni sława pusty dźwięk ścigać postać realny zjawa tren ruszać brua iść piwo niechybnąć brakować stać miejsce niejeden zginąć niejeden zginąć kwiat zdechnąć szybki roić śmierć ziemia płytki frunąć góry ruszać brua iść piwo niechybnąć brakować stać miejsce niejeden zginąć niejeden zginąć kwiat,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo
5,Przechyły,pierwszy raz pełny takielunek brać ster trzymać kurs wiatr pierwszy pocałunek usta sól gorący woda smak przechył przechył fala fala mknąć trzymać dziewczyna wiatr ósemka chybać dma zwrot sztaga ok zaraza zrobić słyszeć kapitana cichy kląć gubić wiatr zamiasto dziób tył kumpel śmiech przechył przechył fala fala mknąć trzymać dziewczyna wiatr ósemka chybać dma burta wychylić naprawda śmiać cichy siedź lepiej procisić neptun żeby spaść kark przechył przechył fala fala mknąć trzymać dziewczyna wiatr ósemka chybać dma krople mgły tęczowy kropla pył tańczyć jacht deska spływać dzień jutro wypłynąć odkryć mór noc żeglarski stary pieśń przechył przechył fala fala mknąć trzymać dziewczyna wiatr ósemka chybać dma,,,
6,Znów wędrujemy,wędrować ciepły kraj malachitowy łąka morze ptak powrotny umierać wśród pomarańcza rozdroże fioletowoszary łąka niebo rozpinać płynność arkada pejzaż powieka miękko wsiąkać zakrzepnąć sól nagi warga wiczor prąd zatoka noc lizać mór słodki grzywa miękki gruszka brzmieć lato wiatr sparzyć pokrzywa fontanna perłowy noc winogrono gwiazda rozdawać wędrować ciepły ziemia wędrować ciepły kraj malachitowy łąka morze ptak powrotny umierać wśród pomarańcza rozdroże wędrować ciepły kraj malachitowy łąka morze ptak powrotny umierać wśród pomarańcza rozdroże fontanna perłowy noc winogrono gwiazda rozdawać wędrować ciepły ziemia wędrować ciepły kraj malachitowy łąka morze,Krzysztof Kamil Baczyński,Grzegorz Turnau,Grzegorz Turnau
7,Makatka z aniołem,twarz twej rumieniec jakbyś uduchowić gruźlica płuco dobroć nieziemski zamykać niebieski kluczyć zamykać niebieski kluczyć najczęunioezioro spotkać przepaść lukrować dziurawy kładka przeprowadzać dziecko noc chcieć oderwać ściana skrzydło gwóźdź przedziurawić zostawać wiek wiek amen najczęunioezioro spotkać przepaść lukrować dziurawy kładka przeprowadzać dziecko,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo
8,Bieszczadzki trakt,nadejść czas wabić ogień blask polano królować zły gwiezdny pył ogień łza wycisnąć dymić tańczyć iskra gwiazda śpiewać radosny czas śpiewać raz choć rok młody szybki płynąć wiedzieć starzeć lis lichy śpać przygoda drzwi chodzić ściana las lśnić oko sowa wilczy kwadratoł ryk powietrze drżeć gwiazda przyjazny śpiewać radosny czas śpiewać raz choć rok młody szybki płynąć wiedzieć starzeć dorzuć ogień drwa góra niech płynąć śpiew wiatr ponieść wilgotny świat wieć spotkać połączyć bieszczadzki trakt śpiewać radosny czas śpiewać raz choć rok młody szybki płynąć wiedzieć starzeć,Bogdan Adamek,Bogdan Adamek,
9,"Ach, kiedy znowu ruszą dla mnie dni",minąć miesiąc minąć czas miejsce przystanąć chłopiec piekło odgłos kroki schód serce wciąż skakać gardło piękny zagłada ruszyć dzień noc dzień pora krążyć zacząć obieg krew lato jesień zimać wiosna boliwia drogi prosty wiosna lato jesień zimać przypominać ni żyć umrzeć wypłakać łza doszcć oddychać lidwa ból kość gardło stawać powietrze bóg bóg bóg wszędziejski obłęd bóg wbić wszytki nóż ruszyć dzień noc dzień pora krążyć zacząć obieg krew lato jesień zimać wiosna boliwia drogi prosty wiosna lato jesień zimać przypominać,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo
10,"Wiatr, wiosenny gitarzysta",wiatr gitarzysta grać akacjowy listek pograć odchodzić wracać smucić akacja zapaść noc róża chować senny trawa ptak składać skrzydło twardy sośnia akacja skarżyć żałośnąć polecieć szaleniec jj liść szumieć gdziejeste wracać srebrny wariat srebrny ciepły latarnia wietr wietr pustka usta listek listek listek przyciskać wietr wiosenny gitarzysta kwiat wietr wiosenny leśny ścieżka gitarzysta gondoliera wietr wiosenny piosenkarz długi marzyć wrócić wiatr zimowy wicher,,,
11,Dokąd nas zaprowadzisz Panie,zaprowadzić bagaż ból głowa droga stań móc zacząć nowy wiedzieć słońce choć deszcz chronić parasol przemoczyć serce deszcz spływać twarz zabrać uśmiech dzień rany zostawiać lustro śniadanie pośpiech zdążyć kolejny autobus jutro jutro zaraza pierwszy wakacje rozliczać geniusz geniusz zjadacz chleb kolacja jutro zaprowadzić bagaż ból głowa droga stań spróbować zacząć nowy zaprowadzić bagaż ból głowa droga stań móc zacząć nowy,,,
12,Jedyne co mam,jedyny złudzić móc własny pragnienie jedyny złudzić móc siebie własność zabrać prywatność zrobić siebie żyć siebie żyć jedyny złudzić móc własny pragnienie jedyny złudzić móc słowo własny stwierdzić zbyt ciasny zrobić słowo żyć słowo żyć jedyny złudzić móc własny pragnienie jedyny złudzić móc serce kluczyć wymyślić zrobić serce żyć serce żyć jedyny złudzić móc własny pragnienie jedyny złudzić móc myślić spokojny wywołać wojna zrobić żyć żyć jedyny złudzić móc własny pragnienie jedyny złudzić móc,,,Pod Budą
13,Między nami tyle śniegu,ślad zasypać śnieg całies zgubić szukać trudny wszędziejski biały czekać siła ponieść sań stały środek zima lato żyto wniść tył śnieg tył lód trafić siebie okno szyba chłód wiosna odmienić lato da zapomnieć czekać jesień przypomnieć list krzyżówka hasło pięć bilet tramwajowy pewnie zasnąć wciąż myśl bić gdybeyć stanąć próg śnieg pewnie bymorze otrzepać dziękować wiedzieć ko tył śnieg tył lód trafić siebie okno szyba chłód wiosna odmienić lato da zapomnieć czekać jesień przypomnieć,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo
14,Dylan -- pastisz,ocean śpać horyzont drwić płytki fala fałszywo mienić prawdziwy rejs znać miejsce płynąć przekór przestrzeń drogi parać noga dotrzeć pewny koniec potrzebny wzrok żeby wyczuć krok musieć wciąż radzić słońce wielbiciel sługa tłumić zawisnąć noga wolność twej chciwy strażnik zaprowadzić przejść granica zlekceważyć głos wróżyć los wyzwolić zabić lasa ręka klaskać czas marsz rytm śmierć nieść boleć patrzyć pić żreć żywić krew żonglować słowo pieśń śnić najlepiej wiedzieć istnieć wszak śnić śmierć twej płakać śmiać drwić jedyny cela eskorta oddać któś rząd dusza własny szlaka ruszyć zdarzyć porta mówić żeś zbiec wyjść brzeg zdradziecki lampa zapalić patrzyć dal płynąć wśród fala wreszta stanąć fala,Jacek Kaczmarski,Jacek Kaczmarski,Jacek Kaczmarski
15,Wasza Wysokość Kobieto,ciemność ciszyć bieda osnuć dom wysokość kobieta naprawda żarówka pełgać oko krople mur spływać nagi kobieta wysokość tył odwaga przyjść pożar zapierać decha huczeć wokół prosić środek prosić warta stać próg naprawda miły pleść wiedzieć drzwi pomylić ulica miasto stulecie,Bułat Okudżawa,Bułat Okudżawa,Bułat Okudżawa
16,Chłopaki nie płaczą,mówić żyto cukierek gorzki mówić panna zostawić kumpel dawny olać bój minia czas poczuć chłodny świta przejść chłopak płakać chłopak płakać kaska odpuścić jutro dzień kiedyś pomóc wystawić bój minia czas poczuć chłodny świta przejść chłopak płakać chłopak płakać,,,T.Love
17,Gonić marzenia,włóczęga wyruszyć przyszły porać lasa wół śpiew ptak szum drzewo wołać pole jezioro zeszłoroczny wesoły pomnieć śpiew ludzie prace ludzie lubić bogacić pełny brzuch chcieć pełny trzos gonić gonić marzyć szukać szczęście kaczeniec wrzos prosty gadać szkoda czas plecak wziąć iść siebie szukać wiatr zapach szukać las najdaloja zadymiony wielki miasto zrozumieć brat łóżko trawa dach drzewo wiatr gonić ptak śpiewać głos gonić gonić marzyć czekać troska przynieść los iść lubić mówić widzieć dzień spotkać iść świat dogonić marzyć spełnić złoty zen dziewczyna ręka gitara piosenka precć smutki precć przykrość słońce świecić iść gonić iść gonić marzyć spokój szukać pośród starc drzewo,Jurij Kukin,Jurij Kukin,Jurij Kukin
18,Przyjaciółko,przyjść znać domowy drzwi materac zmęczyć fotel wysiedzieć musieć dzwonić pukać wejść posiedzieć pomyślić pogadać miłość chcieć przyjść przyjaźń wystarczyć ciężki bywać źle walka przegrany powrót tarcza łatwi martwić przyjaźń trwać choć świat choć jutro boja wyjść rany zmęczyć trudny rozmowa zostać wspólny łza dusza zostać słowo choć miłość chcieć przyjść przyjaźń wystarczyć choć ciężki bywać źle choć zdarzać powrócić tarcza trwać lepiej zmieniać świat przyjaźń żyć rośnia trwać dzięki trocha mało świat boja,Jakub Onufry Wojtaszczyk,Jakub Onufry Wojtaszczyk,Znak służby muzyce
