,title,lyrics,text_author,composer,artist
0,Sześć błota stóp,sześć błota stóp sześć błota stóp uderz w bęben już bo nadszedł mój czas wrzućcie mnie do wody na wieczną wachcę trza nam gdzie sześć błota stóp sześć błota stóp dziewięć sążni wody i sześć błota stóp ściągnijcie flagę w dół uszyjcie worek mi dwie kule przy nogach ostatni ścieg bez krwi no i sześć błota stóp sześć błota stóp dziewięć sążni wody i sześć błota stóp na wachcie więcej już nie ujrzycie chyba mnie kończę ziemską podróż do hilo dotrę wnet tam gdzie sześć błota stóp sześć błota stóp dziewięć sążni wody i sześć błota stóp a ląd daleko jest przed wami setki mil a mnie pozostało do lądu kilka chwil no i sześć błota stóp sześć błota stóp dziewięć sążni wody i sześć błota stóp sześć błota stóp sześć błota stóp sześć błota stóp ,Henryk Czekała,Cyril Tawney,Mechanicy Shanty
1,Balonik,płacze dziewczynka balon uciekł jej ludzie mówią nie płacz a balonik hen płacze dziewczyna chłopca trzeba jej ludzie mówią nie płacz a balonik hen płacze kobieta mąż porzucił ją ludzie mówią nie płacz a balonik hen płacze staruszka życie moje wróć a balonik wrócił i błękitny jest ,Bułat Okudżawa,Bułat Okudżawa,Bułat Okudżawa
2,Nie patrz na to miła,świat jest taki a nie inny i zapewne się nie zmieni ogłosili wczoraj słynni dwaj uczeni a w przypadku słynnych ludzi każda myśl jest całkiem dobra więc ci goście otrzymali zaraz nobla mieli rację jest jak było czyli całkiem nieciekawie w rowie leży pierwsza miłość po zabawie jak się bawić to się bawić krzyż na szyi w dłoni seta i na niebie czasem zjawi się kometa zamknij oczy nie patrz na to moja miła pod powieką znaczenie lepsze są widoki i w tym nasza siła i w tym nasza siła że umiemy jeszcze czasem marzyć jak się bawić to się bawić a tu biedy coraz więcej i ważniejszy jest karabin niźli serce tutaj się zabawą żyje za to tępe rządzą głowy a czasami kretyn z kijem bejsbolowym nie patrz miła na to wszystko człowiek musi się szanować niech nie schyla się za nisko twoja głowa lecz na chwilę moment jeden za to z góry ci dziękuję otwórz oczy tylko kiedy mnie całujesz a na resztę zamknij oczy moja miła pod powieką znaczenie lepsze są widoki i w tym nasza siła i w tym nasza siła że umiemy jeszcze czasem marzyć a na resztę zamknij oczy moja miła pod powieką znaczenie lepsze są obrazy i w tym nasza siła i w tym nasza siła że umiemy jeszcze czasem marzyć ,Andrzej Sikorowski,Andrzej Sikorowski,Pod Budą
3,Madonna,polsko ruska madonna polsko starocerkiewna z gorejącego złota z żywego drewna srebra bizantyjsko słowiańska w śnieżnobiałych sukienkach nie na bielonych płótnach na trumiennych deskach polsko ruska madonna polsko starocerkiewna z gorejącego złota z żywego drewna srebra nie bojarska nie carska zasmucona kamienna twarz nie bojarska nie carska zasmucona chłopska ikona polsko ruska madonna polsko starocerkiewna z gorejącego złota z żywego drewna srebra ,,,
4,Nie rozdziobią nas kruki,nie rozdziobią nas kruki ni wrony ani nic nie rozszarpią na sztuki poezji wściekłe kły ruszaj się bruno idziemy na piwo niechybnie brakuje tam nas od stania w miejscu niejeden już zginął niejeden zginął już kwiat nie omami nas forsa ni sławy pusty dźwięk inną ścigamy postać realnej zjawy tren ruszaj się bruno idziemy na piwo niechybnie brakuje tam nas od stania w miejscu niejeden już zginął niejeden zginął już kwiat nie zdechniemy tak szybko jak sobie roi śmierć ziemia dla nas za płytka fruniemy w góry gdzieś ruszaj się bruno idziemy na piwo niechybnie brakuje tam nas od stania w miejscu niejeden już zginął niejeden zginął już kwiat ,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo
5,Przechyły,pierwszy raz przy pełnym takielunku biorę ster i trzymam kurs na wiatr i jest jak przy pierwszym pocałunku w ustach sól gorącej wody smak o ho ho przechyły i przechyły o ho ho za falą fala mknie o ho ho trzymajcie się dziewczyny ale wiatr ósemka chyba dmie zwrot przez sztag ok zaraz zrobię słyszę jak kapitan cicho klnie gubię wiatr i zamiast w niego dziobem to on mnie od tyłu kumple w śmiech o ho ho przechyły i przechyły o ho ho za falą fala mknie o ho ho trzymajcie się dziewczyny ale wiatr ósemka chyba dmie hej ty tam za burtę wychylony tu naprawdę się nie ma z czego śmiać cicho siedź i lepiej proś neptuna żeby coś nie spadło ci na kark o ho ho przechyły i przechyły o ho ho za falą fala mknie o ho ho trzymajcie się dziewczyny ale wiatr ósemka chyba dmie krople mgły w tęczowym kropel pyle tańczy jacht po deskach spływa dzień jutro znów wypłynę bo odkryłem morze noc żeglarską starą pieśń o ho ho przechyły i przechyły o ho ho za falą fala mknie o ho ho trzymajcie się dziewczyny ale wiatr ósemka chyba dmie ,,,
6,Znów wędrujemy, znów wędrujemy ciepłym krajem malachitową łąką morza ptaki powrotne umierają wśród pomarańczy na rozdrożach na fioletowoszarych łąkach niebo rozpina płynność arkad pejzaż w powieki miękko wsiąka zakrzepła sól na nagich wargach a wiczorami w prądach zatok noc liże morze słodką grzywą jak miękkie gruszki brzmieje lato wiatrem sparzone jak pokrzywą przed fontannami perłowymi noc winogrona gwiazd rozdaje znów wędrujemy ciepłą ziemią znów wędrujemy ciepłym krajem malachitową łąką morza ptaki powrotne umierają wśród pomarańczy na rozdrożach znów wędrujemy ciepłym krajem malachitową łąką morza ptaki powrotne umierają wśród pomarańczy na rozdrożach przed fontannami perłowymi noc winogrona gwiazd rozdaje znów wędrujemy ciepłą ziemią znów wędrujemy ciepłym krajem malachitową łąką morza ,Krzysztof Kamil Baczyński,Grzegorz Turnau,Grzegorz Turnau
7,Makatka z aniołem,na twarzy twej rumieńce jakbyś był uduchowiony przez gruźlicę płuc a dobroć twą nieziemską zamykasz na niebieski klucz zamykasz na niebieski klucz najczęściej można spotkać cię nad przepaścią lukrowaną gdy przez dziurawą kładkę przeprowadzasz swoje dzieci nocą może chciałbyś oderwać się od ściany ale jedno skrzydło gwóźdź ci przedziurawił więc zostajesz z nami na wieki wieków amen najczęściej można spotkać cię nad przepaścią lukrowaną gdy przez dziurawą kładkę przeprowadzasz swoje dzieci ,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo
8,Bieszczadzki trakt,kiedy nadejdzie czas wabi nas ognia blask na polanie gdzie króluje zły gwiezdny pył w ogniu tym łzy wyciśnie nam dym tańczą iskry z gwiazdami a my śpiewajmy wszyscy w ten radosny czas śpiewajmy razem ilu jest tu nas choć lata młode szybko płyną wiemy że nie starzejemy się w lesie gdzie licho śpi ma przygoda swe drzwi chodźmy tam gdzie na ścianie lasu lśnią oczy sów wilcze kły rykiem powietrze drży tylko gwiazdy przyjazne są dziś śpiewajmy wszyscy w ten radosny czas śpiewajmy razem ilu jest tu nas choć lata młode szybko płyną wiemy że nie starzejemy się dorzuć do ognia drew w górę niech płynie śpiew wiatr poniesie go wilgotny świat każdy z nas o tym wie znowu spotkamy się a połączy nas bieszczadzki trakt śpiewajmy wszyscy w ten radosny czas śpiewajmy razem ilu jest tu nas choć lata młode szybko płyną wiemy że nie starzejemy się ,Bogdan Adamek,Bogdan Adamek,
9,"Ach, kiedy znowu ruszą dla mnie dni",minęło wiele miesięcy ale mnie nic nie minęło czas dla mnie w miejscu przystanął takie jest chłopcy takie jest piekło na odgłos kroków po schodach serce wciąż skacze do gardła że może to jednak to ona ona to piękna moja zagłada ach kiedy znowu ruszą dla mnie dni noce i dni i pory roku krążyć zaczną znów jak obieg krwi lato jesień zima wiosna do boliwii droga prosta wiosna lato jesień zima nic mi nie przypomina ni żyć już można mi umrzeć wypłakane łzy doszczętnie oddycham ledwie i z bólem kością mi w gardle staje powietrze czy tak już będzie i będzie boże mój boże mój boże zawsze i wszędzie w obłędzie boże mój wbiłeś we mnie wszytkie noże ach kiedy znowu ruszą dla mnie dni noce i dni i pory roku krążyć zaczną znów jak obieg krwi lato jesień zima wiosna do boliwii droga prosta wiosna lato jesień zima nic mi nie przypomina ,Edward Stachura,Krzysztof Myszkowski,Stare Dobre Małżeństwo
10,"Wiatr, wiosenny gitarzysta",wiatr to jest taki gitarzysta co gra na akacjowych listkach pogra odchodzi i nie wraca i bardzo smuci się akacja więc gdy zapadnie noc i nawet róża się chowa w senną trawę ptak składa skrzydła w twardej sośnie akacja skarży się żałośnie dokąd poleciał ten szaleniec na czyich liściach szumi gdziejest czemu nie wraca srebrny wariat srebrny i ciepły jak latarnia wietrze ach wietrze jaka pustka ty zawsze będziesz na mych ustach ty zawsze będziesz na mych listkach listkiem do listka cię przyciskam wietrze wiosenny gitarzysto mój każdy kwiat dla ciebie wszystko wietrze wiosenny z leśnych ścieżek mój gitarzysto gondolierze wietrze wiosenny piosenkarzu jak długo będę twoja marząc aż wróci wiatr zimowy wicher ,,,
11,Dokąd nas zaprowadzisz Panie,dokąd nas zaprowadzisz panie bez bagażu i bólu głowy i gdy nic nam na drodze nie stanie czy będziemy mogli zacząć na nowo bo wiesz u nas nie zawsze jest słońce choć przed deszczem nas chroni parasol czasem jednak przemoczy nam serca inny deszcz co spływa po twarzy więc nas zabierz bez tych uśmiechów co dzień rano zostawianych w lustrze i bez śniadań w pośpiechu by zdążyć na kolejny autobus do jutra bo my tu tak do jutra do zaraz do pierwszego i do wakacji rozliczając geniuszy z geniuszu a zjadaczy chleba z kolacji więc już jutro zaprowadź nas panie bez bagażu i bólu głowy i gdy nic nam na drodze nie stanie spróbujemy zacząć od nowa dokąd nas zaprowadzisz panie bez bagażu i bólu głowy i gdy nic nam na drodze nie stanie czy będziemy mogli zacząć na nowo ,,,
12,Jedyne co mam,jedyne co mam to złudzenia że mogę mieć własne pragnienia jedyne co mam to złudzenia że mogę je mieć miałem siebie na własność ktoś zabrał mi prywatność co mam zrobić bez siebie jak żyć bez siebie jak żyć jedyne co mam to złudzenia że mogę mieć własne pragnienia jedyne co mam to złudzenia że mogę je mieć miałem słowa własne ktoś stwierdził że zbyt ciasne co mam zrobić bez słów jak żyć bez słów jak żyć jedyne co mam to złudzenia że mogę mieć własne pragnienia jedyne co mam to złudzenia że mogę je mieć miałem serce dla wszystkich ktoś klucz do niego wymyślił co mam zrobić bez serca jak żyć bez serca jak żyć jedyne co mam to złudzenia że mogę mieć własne pragnienia jedyne co mam to złudzenia że mogę je mieć miałem myśli spokojne lecz ktoś wywołał w nich wojnę co mam zrobić teraz jak żyć jak teraz żyć jedyne co mam to złudzenia że mogę mieć własne pragnienia jedyne co mam to złudzenia że mogę je mieć ,,,Pod Budą
13,Między nami tyle śniegu,ślady twoje zasypało w śniegu całkiem się zgubiły szukać trudno wszędzie biało czekać też nad moje siły gdzie cię poniosło na tych saniach co ci się stało w środku zimy a jeszcze latem byłaś ze mną czy w twoje życie wszedł ktoś inny między nami tyle śniegu między nami tyle lodu czy trafimy znów na siebie w naszych oknach szyby chłodu może wiosna cię odmieni może lato da zapomnieć czekam tylko do jesieni więc przypomnij sobie o mnie mam po tobie listów kilka i krzyżówkę bez dwóch haseł pięć biletów tramwajowych pewnie dzisiaj też nie zasnę bo wciąż w myślach biję się ze sobą gdybyś dziś znów stanęła na progu ze śniegu pewnie bym cię otrzepał i dziękował sam nie wiem komu między nami tyle śniegu między nami tyle lodu czy trafimy znów na siebie w naszych oknach szyby chłodu może wiosna cię odmieni może lato da zapomnieć czekam tylko do jesieni więc przypomnij sobie o mnie ,Adam Ziemianin,Krzysztof Myszkowski,Stare Dobre Małżeństwo
14,Dylan -- pastisz,ocean w nas śpi i horyzont z nas drwi płytka fala fałszywie się mieni a prawdziwy jest rejs do nieznanych miejsc kiedy płyniesz na przekór przestrzeni i na tej z wielu dróg po co ci para nóg i tak dotrzesz na pewno do końca nie potrzebny ci wzrok żeby wyczuć swój krok i nie musisz wciąż radzisz się słońca wielbicieli i sług tłum ci zawisł u nóg to wolności twej chciwi strażnicy zaprowadzisz ich tam gdzie powinieneś być sam z nimi żadnej nie przejdziesz granicy zlekceważą twój głos którym wróżysz im los od jakiego ich nic nie wyzwoli bo zabije ich las rąk co klaszczą na czas w marsza rytm co śmierć niosąc nie boli patrz jak piją i żrą twoją żywią się krwią i żonglują słowami twych pieśni lecz nic nie śni się im a najlepiej wiesz że nie istnieje wszak to co się nie śni by przy śmierci twej być płakać śmiać się i drwić to jedyny cel twojej eskorty oddaj komuś rząd dusz i na własny szlak rusz tam gdzie żadne nie zdarzą się porty mówić będą żeś zbiegł ale wyjdą na brzeg i zdradzieckie ci lampy zapalą ale ty patrząc w dal płynąc będziesz wśród fal aż sam wreszcie staniesz się falą ,Jacek Kaczmarski,Jacek Kaczmarski,Jacek Kaczmarski
15,Wasza Wysokość Kobieto,ciemnością ciszą jak biedą osnute wszystko w tym domu wasza wysokość kobieto czy pani naprawdę do mnie żarówki pełga tu oko kroplami mur spływa nagi kobieto wasza wysokość skąd w pani tyle odwagi to przyjście pani jak pożar zapiera dech huczy wokół lecz proszę do środka proszę nie warto tak stać na progu więc do mnie naprawdę miła ach co też mi się znów plecie wiem pani drzwi pomyliła ulicę miasto stulecie ,Bułat Okudżawa,Bułat Okudżawa,Bułat Okudżawa
16,Chłopaki nie płaczą,mówisz życie jak cukierek gorzkie jest czasami mówisz panna zostawiła kumple dawno cię olali ale nie bój nic minie jakiś czas poczuj chłodny świt wszystko przejdzie ci u u u chłopaki u u u nie płaczą u u u chłopaki u u u nie płaczą nie nie nie nie nie nie nie masz kaski odpuść sobie jutro przecież też jest dzień może kiedyś ci pomogę może ty nie wystawisz mnie ale nie bój nic minie jakiś czas poczuj chłodny świt wszystko przejdzie ci u u u chłopaki u u u nie płaczą u u u chłopaki u u u nie płaczą nie nie nie nie nie nie ,,,T.Love
17,Gonić marzenia,na włóczęgę dziś wyruszyć przyszła pora las nas woła śpiewem ptaków szumem drzew i wołają nas już pola i jeziora zeszłoroczny nasz wesoły pomnąc śpiew ludzie mają swoje prace ludzie lubią się bogacić pełne brzuchy mają chcą mieć pełen trzos a ja gonię a ja gonię swe marzenia szukam szczęścia gdzie kaczeńce i gdzie wrzos tak to proste że i gadać szkoda czasu tylko plecak wziąć i iść przed siebie tak szukać wiatru i zapachu szukać lasu jak najdalej z zadymionych wielkich miast zrozum bracie to tak trzeba łóżkiem trawa dachem drzewa z wiatrem gonić i z ptakami śpiewać w głos trzeba gonić trzeba gonić swe marzenia i nie czekać ile trosk przyniesie los tym co iść nie lubią mówię do widzenia za dni kilka może się spotkamy znów idę w świat by tam dogonić swe marzenia aby spełnić kilka swoich złotych snów więc z dziewczyną swą pod rękę i z gitarą i z piosenką precz mi smutki precz przykrości słońce świeć idę gonić idę gonić swe marzenia i spokoju szukać pośród starch drzew ,Jurij Kukin,Jurij Kukin,Jurij Kukin
18,Przyjaciółko,przyjdź znasz ten dom i drzwi materac zmęczony i fotel wysiedziany nie musisz dzwonić pukać wejdź posiedzimy pomyślimy pogadamy o tym że miłość nie chce przyjść o tym że przyjaźń nie wystarczy o tym że ciężko nam bywa i źle o walkach przegranych i powrotach na tarczy też o tym że my że ty i ja że łatwiej martwić się we dwoje o tym że przyjaźń jednak trwa choć świata choć jutra tak bardzo się boję wyjdziesz rano zmęczona bo trudna jak zawsze ta nasza rozmowa za nami zostaną wspólne łzy a w duszy zostaną nam słowa że chociaż miłość nie chce przyjść i przyjaźń czasem nie wystarczy że chociaż ciężko nam bywa i źle choć zdarza się czasem powrócić na tarczy to jednak trwamy ty i ja i lepiej zmieniać świat we dwoje i przyjaźń żyje rośnie trwa i dzięki niej trochę mniej świata się boję ,Jakub Onufry Wojtaszczyk,Jakub Onufry Wojtaszczyk,Znak służby muzyce
19,Tawerna pod pijaną zgrają,kiedy niebo do morza przytula się z płaczem licho sosny garbate do reszty wykrzywia brzegiem morza wędrują bezdomni tułacze i nikt nie wie skąd idą jaki wiatr ich przywiał do tawerny pod pijaną zgrają do tańczących rozhukanych ścian i do dziewcząt które serca za złamany grosz oddają nie pytając czy kto kiep czy drań kiedy wiatry noc chmurną przegonią za wodę gdy pół słońce pół nieba pół morza rozpali opuszczają wędrowcy uśpioną gospodę z pierwszą bryzą znikają w pomarszczonej dali a w tawernie pod pijaną zgrają spływa smutek z okopconych ścian a dziewczyny z pół grosików amulety układają na kochanie na tęsknotę i na żal kiedy chandra jesienna jak mgła cię otoczy kiedy wszystko postawisz na kartę przegraną zamiast siedzieć bezczynnie i płakać lub psioczyć weź węzełek na plecy ruszaj w świat w nieznane do tawerny pod pijaną zgrają do tańczących rozhukanych ścian i do dziewcząt które serca za złamany grosz oddają nie pytając czyś ty kiep czy drań nie pytają czyś ty kiep czy drań nie pytają czyś ty kiep ,Grzegorz Bukała,Grzegorz Bukała,Grzegorz Bukała
20,Pocałuj noc,przez palce zwykłych dni oglądasz świat w pośpiechu gubiąc sny twój śmiech zawstydza cię więc wolisz nie śmiać się niż chwilę śmiesznym być spróbuj choć raz odsłonić twarz i spojrzeć prosto w słońce zachwycić się po prostu tak i wzruszyć jak najmocniej nie bój się bać gdy chcesz to płacz idź szukać wiatru w polu pocałuj noc w najwyższą z gwiazd zapomnij się i tańcz zakładasz szary płaszcz łatwo wtapiasz się w upiornie trzeźwy świt obmyślasz każdy gest na wypadek by nikt nie odkrył kim naprawdę jesteś spróbuj choć raz odsłonić twarz i spojrzeć prosto w słońce zachwycić się po prostu tak i wzruszyć jak najmocniej nie bój się bać gdy chcesz to płacz idź szukać wiatru w polu pocałuj noc w najwyższą z gwiazd zapomnij się i tańcz ,,,Varius Manx
21,Zwiewność, brzęk muchy w pustym dzbanie co stoi na półce smuga w oczach po znikłej za oknem jaskółce cień ręki na murawie a wszystko niczyje ledwo się zazieleni już ufa że żyje a jak dumnie się modrzy u ciszy podnóża jak buńczucznie do boju z mgłą się napurpurza a jest go tak niewiele że mniej niż niebiesko nic prócz tła biały obłok z liliową przekreską dal światła w ślepiach wróbla spotkanie trwa z ciałem szmer w studni ja w lesie mgłą byłeś bywałem usta twoje w alei świt pod groblą w młynie niebo w bramie na oścież zgon pszczół w koniczynie brzęk muchy w pustym dzbanie co stoi na półce smuga w oczach po znikłej za oknem jaskółce cień ręki na murawie a wszystko niczyje ledwo się zazieleni już ufa że żyje chód po ziemi człowieka co na widnokresie malejąc łatwo zwiewną gęstwe ciała niesie i w tej gęstwie się modli i gmatwa co chwila i wyziera z tej gęstwy w świat i na motyla brzęk muchy w pustym dzbanie co stoi na półce smuga w oczach po znikłej za oknem jaskółce cień ręki na murawie a wszystko niczyje ledwo się zazieleni już ufa że żyje ,Bolesław Leśmian,Z. Stefaniak,
